year	abbr	total	democrat	republican
2000	MN	2438685	1168266	1109659
2000	MS	994184	404614	572844
2000	MO	2359892	1111138	1189924
2000	MT	410986	137126	240178
2000	NE	697019	231780	433862
2000	NV	609426	279978	301575
2000	NH	569081	266348	273559
2000	NJ	3187226	1788850	1284173
2000	NM	598605	286783	286417
2000	NY	6960215	3942215	2258577
2000	NC	2914990	1257692	1631163
2000	ND	288256	95284	174852
2000	OH	4701998	2183628	2350363
2000	OK	1234229	474276	744337
2000	OR	1533950	720342	713577
2000	PA	4912185	2485967	2281127
2000	RI	409112	249508	130555
2000	SC	1383902	566037	786892
2000	SD	316269	118804	190700
2000	TN	2076181	981720	1061949
2000	TX	6407637	2433746	3799639
2000	UT	770754	203053	515096
2000	VT	294308	149022	119775
2000	VA	2739447	1217290	1437490
2000	WA	2487433	1247652	1108864
2000	WV	648124	295497	336475
2000	WI	2598607	1242987	1237279
2000	WY	213726	60481	147947
2004	AL	1883415	693933	1176394
2004	AK	312598	111025	190889
2004	AZ	2012585	893524	1104294
2004	AR	1054945	469953	572898
2004	CA	12421353	6745485	5509826
2004	CO	2129630	1001732	1101255
2004	CT	1578769	857488	693826
2004	DE	375190	200152	171660
2004	DC	227586	202970	21256
2004	FL	7609810	3583544	3964522
2004	GA	3301875	1366149	1914254
2004	HI	429013	231708	194191
2004	ID	598376	181098	409235
2004	IL	5274322	2891550	2345946
2004	IN	2468002	969011	1479438
2004	IA	1506908	741898	751957
2004	KS	1187756	434993	736456
2004	KY	1795882	712733	1069439
2004	LA	1943106	820299	1102169
2004	ME	740752	396842	330201
2004	MD	2384238	1334493	1024703
2004	MA	2927455	1803800	1071109
2004	MI	4839252	2479183	2313746
2004	MN	2828387	1445014	1346695
2004	MS	1139824	457766	672660
2004	MO	2731364	1259171	1455713
2004	MT	450434	173710	266063
2004	NE	778186	254328	512814
2004	NV	829587	397190	418690
2004	NH	678287	340511	331237
2004	NJ	3611691	1911430	1670003
2004	NM	756304	370942	376930
2004	NY	7448266	4180755	2806993
2004	NC	3501007	1525849	1961166
2004	ND	312833	111052	196651
2004	OH	5627903	2741165	2859764
2004	OK	1463758	503966	959792
2004	OR	1836782	943163	866831
2004	PA	5769590	2938095	2793847
2004	RI	437134	259760	169046
2004	SC	1617700	661669	937974
2004	SD	388215	149244	232584
2004	TN	2437319	1036477	1384375
2004	TX	7410749	2832704	4526917
2004	UT	927844	241199	663742
2004	VT	312309	184067	121180
2004	VA	3195415	1454742	1716959
2004	WA	2859084	1510201	1304894
2004	WV	755792	326541	423778
2004	WI	2997007	1489504	1478120
2004	WY	243861	70776	167629
2008	AL	2099819	813479	1266546
2008	AK	326197	123594	193841
2008	AZ	2293475	1034707	1230111
2008	AR	1086617	422310	638017
2008	CA	13561900	8274473	5011781
2008	CO	2401361	1288576	1073589
2008	CT	1646792	997772	629428
2008	DE	412412	255459	152374
2008	DC	265853	245800	17367
2008	FL	8390744	4282074	4045624
2008	GA	3924486	1844123	2048759
2008	HI	456064	325871	120566
2008	ID	655122	236440	403012
2008	IL	5522371	3419348	2031179
2008	IN	2751054	1374039	1345648
2008	IA	1537123	828940	682379
2008	KS	1235872	514765	699655
2008	KY	1826620	751985	1048462
2008	LA	1960761	782989	1148275
2008	ME	731163	421923	295273
2008	MD	2631596	1629467	959862
2008	MA	3102995	1904097	1108854
2008	MI	5001596	2872579	2048639
2008	MN	2910369	1573354	1275409
2008	MS	1289865	554662	724597
2008	MO	2925205	1441911	1445814
2008	MT	490109	231667	242763
2008	NE	801281	333319	452979
2008	NV	967848	533736	412827
2008	NH	710970	384826	316534
2008	NJ	3868237	2215422	1613207
2008	NM	830158	472422	346832
2008	NY	7722019	4645332	2418323
2008	NC	4310851	2142651	2128474
2008	ND	316621	141278	168601
2008	OH	5708350	2940044	2677820
2008	OK	1462661	502496	960165
2008	OR	1827864	1037291	738475
2008	PA	6013272	3276363	2655885
2008	RI	471766	296571	165391
2008	SC	1920969	862449	1034896
